Entity,Code,Year,life_expectancy_0__sex_total__age_0,gdp_per_capita,900793-annotations,population_historical,owid_region
Afghanistan,AFG,2022,65.617,1357.9878,,40578846,
Africa,,2022,62.9205,,,1446883817,
Africa (UN),,2022,,,,1446883651,
Albania,ALB,2022,78.7688,12978.101,,2827615,
Algeria,DZA,2022,76.1289,13506.444,,45477391,
American Samoa,ASM,2022,72.7521,,,48365,
Americas,,2022,76.1444,,,,
Americas (UN),,2022,,,,1034848562,
Andorra,AND,2022,84.0164,,,79722,
Angola,AGO,2022,64.2455,6118.905,,35635028,
Anguilla,AIA,2022,79.1194,,,14202,
Antigua and Barbuda,ATG,2022,77.4833,,,92851,
Argentina,ARG,2022,75.8061,18292.318,,45407904,
Armenia,ARM,2022,74.6333,13837.577,,2880883,
Aruba,ABW,2022,76.2258,,,107792,
Asia,,2022,74.4278,,,4746329726,
Asia (UN),,2022,,,,4747661012,
Asia (excl. China and India),,2022,,,,1822759552,
Australia,AUS,2022,82.7662,52049.43,,26200987,
Austria,AUT,2022,81.2959,43792.855,,9064679,
Azerbaijan,AZE,2022,74.125,17682.94,,10295307,
Bahamas,BHS,2022,74.4911,,,397544,
Bahrain,BHR,2022,80.9921,38651.6,,1533459,
Bangladesh,BGD,2022,74.2647,4925.721,,169384890,
Barbados,BRB,2022,75.6761,11545.848,,282324,
Belarus,BLR,2022,74.3612,18699.799,,9173241,
Belgium,BEL,2022,81.1589,41872.395,,11641813,
Belize,BLZ,2022,72.1904,,,402741,
Benin,BEN,2022,60.4751,2477.0903,,13759507,
Bermuda,BMU,2022,82.0616,,,64772,
Bhutan,BTN,2022,72.754,,,780920,
Bolivia,BOL,2022,67.4342,6481.3906,,12077155,
Bonaire Sint Eustatius and Saba,BES,2022,78.1545,,,28654,
Bosnia and Herzegovina,BIH,2022,76.7772,12142.863,,3204805,
Botswana,BWA,2022,68.7487,16351.91,,2439895,
Brazil,BRA,2022,74.8719,14640.076,,210306411,
British Virgin Islands,VGB,2022,77.177,,,38344,
Brunei,BRN,2022,72.9171,,,455374,
Bulgaria,BGR,2022,74.0342,20592.455,,6825863,
Burkina Faso,BFA,2022,60.7,1704.966,,22509037,
Burundi,BDI,2022,62.8819,717.22845,,13321101,
Cambodia,KHM,2022,70.528,3944.2468,,17201717,
Cameroon,CMR,2022,62.4428,2812.2148,,27632771,
Canada,CAN,2022,81.2493,45529.645,,38821260,
Cape Verde,CPV,2022,75.9068,7202.767,,519750,
Cayman Islands,CYM,2022,79.9841,,,71609,
Central African Republic,CAF,2022,18.8177,596.393,,5098038,
Chad,TCD,2022,54.5275,1393.5635,,18455319,
Chile,CHL,2022,79.1762,22740.72,,19553032,
China,CHN,2022,78.2021,19238.18,,1425179562,
Colombia,COL,2022,76.5081,14468.964,,51737944,
Comoros,COM,2022,66.4806,1900.3983,,834192,
Congo,COG,2022,65.0003,4187.507,,6035107,
Cook Islands,COK,2022,75.0787,,,14747,
Costa Rica,CRI,2022,79.3164,15496.82,,5081765,
Cote d'Ivoire,CIV,2022,61.5622,4011.7122,,30395003,
Croatia,HRV,2022,78.2779,26986.752,,3907031,
Cuba,CUB,2022,77.6291,7648.704,,11059821,
Curacao,CUW,2022,76.7287,,,185351,
Cyprus,CYP,2022,80.4337,31523.498,,1331376,
Czechia,CZE,2022,79.1648,32247.395,,10673216,
Czechoslovakia,OWID_CZS,2022,,30640.914,,,
Democratic Republic of Congo,COD,2022,60.9789,844.172,,102396974,
Denmark,DNK,2022,81.2906,50689.68,,5902898,
Djibouti,DJI,2022,65.5402,3623.0603,,1137100,
Dominica,DMA,2022,71.0806,8879.6455,,66850,
Dominican Republic,DOM,2022,74.2108,17713.52,,11230734,
East Asia (MPD),,2022,,21728.52,,,
East Timor,TLS,2022,67.3684,,,1369299,
Eastern Europe (MPD),,2022,,20656.266,,,
Ecuador,ECU,2022,76.5767,10124.076,,17823900,
Egypt,EGY,2022,71.0097,13205.406,,112618251,
El Salvador,SLV,2022,71.9695,9218.905,,6280316,
Equatorial Guinea,GNQ,2022,63.3545,22707.22,,1803550,
Eritrea,ERI,2022,67.7892,,,3409452,
Estonia,EST,2022,78.1674,30067.395,,1350092,
Eswatini,SWZ,2022,63.0283,8522.45,,1218921,
Ethiopia,ETH,2022,66.8971,2289.409,,125384285,
Europe,,2022,78.1827,,,748296158,
Europe (UN),,2022,,,,746964589,
Europe (excl. Russia),,2022,,,,608696896,
European Union (27),,2022,,,,449113453,
Falkland Islands,FLK,2022,79.0448,,,3515,
Faroe Islands,FRO,2022,79.2637,,,54039,
Fiji,FJI,2022,67.1481,,,919428,
Finland,FIN,2022,81.2435,40701.465,,5569299,
Former Sudan,,2022,,2405.275,,,
France,FRA,2022,82.4753,39065.71,,66277412,
French Guiana,GUF,2022,76.7942,,,298319,
French Polynesia,PYF,2022,83.8594,,,280389,
Gabon,GAB,2022,67.713,15720.901,,2430752,
Gambia,GMB,2022,64.859,2010.5322,,2636473,
Georgia,GEO,2022,74.1409,14360.359,,3794783,
Germany,DEU,2022,80.5796,46647.793,,84086228,
Ghana,GHA,2022,65.246,4242.4106,,33149151,
Gibraltar,GIB,2022,83.5167,,,37631,
Greece,GRC,2022,79.9441,25283.906,,10412481,
Greenland,GRL,2022,70.0519,,,56014,
Grenada,GRD,2022,75.1508,,,116928,
Guadeloupe,GLP,2022,80.9054,,,384703,
Guam,GUM,2022,77.1015,,,165193,
Guatemala,GTM,2022,71.2064,7969.431,,17847877,
Guernsey,GGY,2022,83.108,,,63748,
Guinea,GIN,2022,60.4316,1809.2666,,14055137,
Guinea-Bissau,GNB,2022,63.6045,1625.3876,,2105537,
Guyana,GUY,2022,69.8885,,,821636,
Haiti,HTI,2022,63.9483,1546.4222,,11503604,
High-and-upper-middle-income countries,,2022,77.3511,,,,
High-income countries,,2022,80.4019,,,1252308750,
Honduras,HND,2022,72.7151,5186.5303,,10463881,
Hong Kong,HKG,2022,83.4853,48289.383,,7465914,
Hungary,HUN,2022,76.2118,29451.855,,9684306,
Iceland,ISL,2022,81.5877,42145.594,,380368,
India,IND,2022,71.6984,7765.593,,1425423212,
Indonesia,IDN,2022,70.9246,12801.671,,278830529,
Iran,IRN,2022,76.7993,18473.066,,89524247,
Iraq,IRQ,2022,72.0371,13071.94,,44070556,
Ireland,IRL,2022,82.0505,60257.082,,5110013,
Isle of Man,IMN,2022,80.9561,,,84144,
Israel,ISR,2022,82.8145,36648.918,,9103144,
Italy,ITA,2022,82.052,36224.293,,59619106,
Jamaica,JAM,2022,71.4809,7481.6685,,2839151,
Japan,JPN,2022,84.0541,38268.79,,124997586,
Jersey,JEY,2022,79.7257,,,103493,
Jordan,JOR,2022,77.088,9151.479,,11256268,
Kazakhstan,KAZ,2022,73.5028,26491.857,,20034612,
Kenya,KEN,2022,63.5491,3403.9238,,54252456,
Kiribati,KIR,2022,66.2687,,,130481,
Kosovo,OWID_KOS,2022,77.6233,,,1717950,
Kuwait,KWT,2022,78.7881,71533.516,,4589514,
Kyrgyzstan,KGZ,2022,71.487,5304.841,,6955792,
Land-locked Developing Countries (LLDC),,2022,65.0997,,,,
Laos,LAO,2022,68.7152,7168.1904,,7559007,
Latin America (MPD),,2022,,14028.038,,,
Latin America and the Caribbean,,2022,74.6608,,,,
Latin America and the Caribbean (UN),,2022,,,,654366789,
Latvia,LVA,2022,74.8706,27220.303,,1881058,
Least developed countries,,2022,65.2353,,,,
Lebanon,LBN,2022,78.0029,10341.159,,5744494,
Lesotho,LSO,2022,56.8119,2312.9583,,2286112,
Less developed regions,,2022,71.3377,,,,
"Less developed regions, excluding China",,2022,69.6004,,,,
"Less developed regions, excluding least developed countries",,2022,72.7172,,,,
Liberia,LBR,2022,61.9342,811.2146,,5373296,
Libya,LBY,2022,74.4615,12755.204,,7223804,
Liechtenstein,LIE,2022,83.4054,,,39336,
Lithuania,LTU,2022,74.696,30863.32,,2816922,
Low-and-Lower-middle-income countries,,2022,68.1106,,,,
Low-and-middle-income countries,,2022,71.0722,,,,
Low-income countries,,2022,63.4802,,,716865805,
Lower-middle-income countries,,2022,69.2504,,,3216231214,
Luxembourg,LUX,2022,82.2007,55484.777,,653316,
Macao,MAC,2022,82.1025,,,704359,
Madagascar,MDG,2022,63.0677,1367.0938,,30437263,
Malawi,MWI,2022,66.037,1190.0509,,20568731,
Malaysia,MYS,2022,75.4442,26628.707,,34695494,
Maldives,MDV,2022,80.7595,,,524116,
Mali,MLI,2022,60.0347,1651.9413,,23072639,
Malta,MLT,2022,82.2496,34496.34,,528194,
Marshall Islands,MHL,2022,66.7245,,,40094,
Martinique,MTQ,2022,80.8364,,,349461,
Mauritania,MRT,2022,68.2807,3680.3662,,4875645,
Mauritius,MUS,2022,73.5445,20643.094,,1276134,
Mayotte,MYT,2022,75.1273,,,305278,
Mexico,MEX,2022,73.9731,16235.455,,128613113,
Micronesia (country),FSM,2022,66.9606,,,112124,
Middle East and North Africa (MPD),,2022,,19874.799,,,
Middle-income countries,,2022,72.1345,,,,
Moldova,MDA,2022,71.5465,6674.871,,3039987,
Monaco,MCO,2022,85.7464,,,38949,
Mongolia,MNG,2022,71.5049,13442.906,,3386015,
Montenegro,MNE,2022,75.9214,20941.805,,614650,
Montserrat,MSR,2022,76.0377,,,4476,
More developed regions,,2022,78.8752,,,,
Morocco,MAR,2022,75.1614,8400.127,,37329069,
Mozambique,MOZ,2022,63.0115,1087.836,,32656240,
Myanmar,MMR,2022,66.5058,5177.4326,,53756790,
Namibia,NAM,2022,64.1903,7979.328,,2889668,
Nauru,NRU,2022,61.9304,,,11821,
Nepal,NPL,2022,70.0869,3013.5178,,29715434,
Netherlands,NLD,2022,81.9121,49669.867,,17904422,
New Caledonia,NCL,2022,77.6983,,,287131,
New Zealand,NZL,2022,81.0061,38250.12,,5131733,
Nicaragua,NIC,2022,74.4626,5092.8413,,6730661,
Niger,NER,2022,60.3981,1007.72095,,25311977,
Nigeria,NGA,2022,54.079,5070.4927,,223150906,
Niue,NIU,2022,69.8182,,,1844,
No income group available,,2022,72.5656,,,,
North America,,2022,,,,604356251,
North Korea,PRK,2022,73.6411,1568.847,,26328842,
North Macedonia,MKD,2022,76.6455,14050.995,,1840236,
Northern America,,2022,78.3087,,,,
Northern America (UN),,2022,,,,380481767,
Northern Mariana Islands,MNP,2022,78.5312,,,46101,
Norway,NOR,2022,82.6309,88366.22,,5456795,
Oceania,,2022,78.0631,,,45049682,
Oceania (UN),,2022,,,,45049350,
Oman,OMN,2022,77.9106,47988.65,,4730227,
Pakistan,PAK,2022,67.4167,5531.723,,243700667,
Palau,PLW,2022,68.9222,,,17784,
Palestine,PSE,2022,76.6624,4775.202,,5305274,
Panama,PAN,2022,79.3241,23557.02,,4400772,
Papua New Guinea,PNG,2022,65.2736,,,10203176,
Paraguay,PRY,2022,72.3185,8762.771,,6760461,
Peru,PER,2022,76.834,12762.967,,33475435,
Philippines,PHL,2022,69.4723,8370.666,,113964342,
Poland,POL,2022,77.9229,32468.402,,38385734,
Portugal,PRT,2022,81.1936,28992.059,,10417075,
Puerto Rico,PRI,2022,79.4269,35280.668,,3240971,
Qatar,QAT,2022,81.8566,149171.11,,2892465,
Reunion,REU,2022,81.5,,,871542,
Romania,ROU,2022,75.2614,26197.904,,19166776,
Russia,RUS,2022,72.5174,25437.107,,145579890,
Rwanda,RWA,2022,67.528,2198.0662,,13651026,
Saint Barthelemy,BLM,2022,84.2805,,,10948,
Saint Helena,SHN,2022,76.7352,,,5369,
Saint Kitts and Nevis,KNA,2022,70.3131,,,46731,
Saint Lucia,LCA,2022,72.6699,10452.165,,178794,
Saint Martin (French part),MAF,2022,80.2355,,,28898,
Saint Pierre and Miquelon,SPM,2022,76.6987,,,5760,
Saint Vincent and the Grenadines,VCT,2022,71.1906,,,102062,
Samoa,WSM,2022,71.5503,,,215269,
San Marino,SMR,2022,85.7082,,,34113,
Sao Tome and Principe,STP,2022,69.2368,3751.6428,,226313,
Saudi Arabia,SAU,2022,77.3098,53516.91,,32175352,
Senegal,SEN,2022,67.7884,2660.6816,,17651099,
Serbia,SRB,2022,75.4778,17097.686,,6791218,
Seychelles,SYC,2022,71.2481,31055.39,,125532,
Sierra Leone,SLE,2022,61.2748,1690.4982,,8276808,
Singapore,SGP,2022,82.9211,80320.086,,5649886,
Sint Maarten (Dutch part),SXM,2022,76.1804,,,42163,
Slovakia,SVK,2022,77.0356,27519.287,,5473194,
Slovenia,SVN,2022,80.7933,32673.762,,2115230,
Small Island Developing States (SIDS),,2022,72.1257,,,,
Solomon Islands,SLB,2022,70.4086,,,781075,
Somalia,SOM,2022,53.9315,,,17801893,
South Africa,ZAF,2022,65.4536,11415.887,,62378419,
South America,,2022,,,,430492814,
South America (excl. Brazil),,2022,,,,222772928,
South Korea,KOR,2022,82.727,41320.9,,51782514,
South Sudan,SSD,2022,57.2026,,,11021175,
South and South East Asia (MPD),,2022,,8377.074,,,
Spain,ESP,2022,82.3661,34123.387,,47828386,
Sri Lanka,LKA,2022,77.2996,10705.481,,22834964,
Sub Saharan Africa (MPD),,2022,,3436.5957,,,
Sudan,SDN,2022,65.695,,,49383343,
Suriname,SUR,2022,73.2538,,,623173,
Svalbard and Jan Mayen,SJM,2022,,,,2400,
Sweden,SWE,2022,83.046,47126.13,,10487333,
Switzerland,CHE,2022,83.2003,63323.254,,8792180,
Syria,SYR,2022,72.7898,2494.7612,,22462170,
Taiwan,TWN,2022,80.1569,53142.984,,23420107,
Tajikistan,TJK,2022,71.5624,5507.5454,,10182229,
Tanzania,TZA,2022,66.8786,3057.3286,,64711821,
Thailand,THA,2022,75.2913,16421.072,,71735320,
Togo,TGO,2022,62.2898,1586.5889,,9089742,
Tokelau,TKL,2022,76.887,,,2312,
Tonga,TON,2022,72.6353,,,105053,
Trinidad and Tobago,TTO,2022,73.3308,25773.006,,1495922,
Tunisia,TUN,2022,76.0505,10913.846,,12119336,
Turkey,TUR,2022,77.5913,27361.988,,87058470,
Turkmenistan,TKM,2022,69.9133,17234.555,,7230198,
Turks and Caicos Islands,TCA,2022,77.9176,,,45869,
Tuvalu,TUV,2022,66.8516,,,10012,
USSR,OWID_USS,2022,,19354.709,,,
Uganda,UGA,2022,67.6747,2122.0278,,47312718,
Ukraine,UKR,2022,72.6582,7749.0996,,41048767,
United Arab Emirates,ARE,2022,80.4868,77203.67,,10242085,
United Kingdom,GBR,2022,81.0744,38406.53,,68179315,
United States,USA,2022,77.9789,58487.465,,341534041,
United States Virgin Islands,VIR,2022,75.0449,,,86521,
Upper-middle-income countries,,2022,75.7306,,,2833258826,
Uruguay,URY,2022,76.4682,20181.94,,3390913,
Uzbekistan,UZB,2022,72.1465,12559.401,,34938955,
Vanuatu,VUT,2022,71.3016,,,313062,
Vatican,VAT,2022,83.3354,,,513,
Venezuela,VEN,2022,72.5656,5267.1753,,28213016,
Vietnam,VNM,2022,74.5025,8050.359,,99680656,
Wallis and Futuna,WLF,2022,78.5005,,,11501,
Western Europe (MPD),,2022,,41323.023,,,
Western Sahara,ESH,2022,71.1432,,,568746,
Western offshoots (MPD),,2022,,56567.887,"United States, Canada, Australia and New Zealand",,
World,OWID_WRL,2022,72.6398,16676.75,,8021407170,
Yemen,YEM,2022,67.9517,1959.3195,,38222880,
Yugoslavia,OWID_YGS,2022,,19352.385,,,
Zambia,ZMB,2022,65.2791,3342.4214,,20152934,
Zimbabwe,ZWE,2022,62.3601,1703.5294,,16069061,